X,Y,Z,Class
-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0
-0.6882472016116853,-0.6882472016116853,-0.2294157338705618,0
-0.6882472016116853,-0.6882472016116853,0.22941573387056172,2
-0.5773502691896258,-0.5773502691896258,0.5773502691896258,2
-0.6882472016116853,-0.2294157338705618,-0.6882472016116853,0
-0.9045340337332908,-0.30151134457776363,-0.30151134457776363,0
-0.9045340337332908,-0.30151134457776363,0.3015113445777635,2
-0.6882472016116853,-0.2294157338705618,0.6882472016116853,2
-0.6882472016116853,0.22941573387056172,-0.6882472016116853,3
-0.9045340337332908,0.3015113445777635,-0.30151134457776363,3
-0.9045340337332908,0.3015113445777635,0.3015113445777635,1
-0.6882472016116853,0.22941573387056172,0.6882472016116853,1
-0.5773502691896258,0.5773502691896258,-0.5773502691896258,3
-0.6882472016116853,0.6882472016116853,-0.2294157338705618,3
-0.6882472016116853,0.6882472016116853,0.22941573387056172,1
-0.5773502691896258,0.5773502691896258,0.5773502691896258,1
-0.2294157338705618,-0.6882472016116853,-0.6882472016116853,0
-0.30151134457776363,-0.9045340337332908,-0.30151134457776363,0
-0.30151134457776363,-0.9045340337332908,0.3015113445777635,2
-0.2294157338705618,-0.6882472016116853,0.6882472016116853,2
-0.30151134457776363,-0.30151134457776363,-0.9045340337332908,0
-0.5773502691896257,-0.5773502691896257,-0.5773502691896257,0
-0.5773502691896257,-0.5773502691896257,0.5773502691896255,2
-0.30151134457776363,-0.30151134457776363,0.9045340337332908,2
-0.30151134457776363,0.3015113445777635,-0.9045340337332908,3
-0.5773502691896258,0.5773502691896256,-0.5773502691896258,3
-0.5773502691896258,0.5773502691896256,0.5773502691896256,1
-0.30151134457776363,0.3015113445777635,0.9045340337332908,1
-0.2294157338705618,0.6882472016116853,-0.6882472016116853,3
-0.30151134457776363,0.9045340337332908,-0.30151134457776363,3
-0.30151134457776363,0.9045340337332908,0.3015113445777635,1
-0.2294157338705618,0.6882472016116853,0.6882472016116853,1
0.22941573387056172,-0.6882472016116853,-0.6882472016116853,1
0.3015113445777635,-0.9045340337332908,-0.30151134457776363,1
0.3015113445777636,-0.9045340337332909,0.3015113445777636,3
0.22941573387056172,-0.6882472016116853,0.6882472016116853,3
0.3015113445777635,-0.30151134457776363,-0.9045340337332908,1
0.5773502691896255,-0.5773502691896257,-0.5773502691896257,1
0.5773502691896256,-0.5773502691896258,0.5773502691896256,3
0.3015113445777635,-0.30151134457776363,0.9045340337332908,3
0.3015113445777635,0.3015113445777635,-0.9045340337332908,2
0.5773502691896256,0.5773502691896256,-0.5773502691896258,2
0.5773502691896257,0.5773502691896257,0.5773502691896257,0
0.3015113445777635,0.3015113445777635,0.9045340337332908,0
0.22941573387056172,0.6882472016116853,-0.6882472016116853,2
0.3015113445777635,0.9045340337332908,-0.30151134457776363,2
0.3015113445777636,0.9045340337332909,0.3015113445777636,0
0.22941573387056172,0.6882472016116853,0.6882472016116853,0
0.5773502691896258,-0.5773502691896258,-0.5773502691896258,1
0.6882472016116853,-0.6882472016116853,-0.2294157338705618,1
0.6882472016116853,-0.6882472016116853,0.22941573387056172,3
0.5773502691896258,-0.5773502691896258,0.5773502691896258,3
0.6882472016116853,-0.2294157338705618,-0.6882472016116853,1
0.9045340337332908,-0.30151134457776363,-0.30151134457776363,1
0.9045340337332908,-0.30151134457776363,0.3015113445777635,3
0.6882472016116853,-0.2294157338705618,0.6882472016116853,3
0.6882472016116853,0.22941573387056172,-0.6882472016116853,2
0.9045340337332908,0.3015113445777635,-0.30151134457776363,2
0.9045340337332908,0.3015113445777635,0.3015113445777635,0
0.6882472016116853,0.22941573387056172,0.6882472016116853,0
0.5773502691896258,0.5773502691896258,-0.5773502691896258,2
0.6882472016116853,0.6882472016116853,-0.2294157338705618,2
0.6882472016116853,0.6882472016116853,0.22941573387056172,0
0.5773502691896258,0.5773502691896258,0.5773502691896258,0
